data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6666045,144,SRI3910,3910,"13 December 2019",2019,1,"Strategic developments","Disrupted weapons use","Police Forces of Sri Lanka (2019-) Special Task Force",,1,"Unidentified Armed Group (Sri Lanka)",,3,13,"Southern Asia","Sri Lanka","North Western",Puttalam,Karuwalagaswewa,Karuwalagaswewa,8.0547,79.9555,1,Virakesari,National,"On December 13, Sri Lanka Police - Special Task Force uncovered a large haul of weapons in Karuwalagaswewa city (Karuwalagaswewa, Puttalam district). Police are carrying out further investigations into the matter.",0,1576604762,LKA
6666046,144,SRI3909,3909,"13 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka",Eastern,Batticaloa,"Manmunai North",Batticaloa,7.7102,81.6924,2,Virakesari,National,"On December 13, a group of protesters staged a protest near Batticaloa city (Manmunai North, Batticaloa district). The reason for the protest was not reported. [size=no report]",0,1576604762,LKA
6665879,144,SRI3908,3908,"13 December 2019",2019,2,Riots,"Mob violence","Rioters (Sri Lanka)","SLPP: Sri Lanka People's Front; Labour Group (Sri Lanka)",5,"Civilians (Sri Lanka)","Journalists (Sri Lanka)",7,57,"Southern Asia","Sri Lanka",Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,"Tamil Guardian",International,"As reported on December 13, a journalist was assaulted by the trade union members of the Sri Lanka People's Front (SLPP) party in Colombo city (Colombo, Colombo district). The assailants also threatened the journalist to not return to work. [size=no report]",0,1576604761,LKA
6665763,144,SRI3906,3906,"12 December 2019",2019,2,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Rioters (Sri Lanka)","Labour Group (Sri Lanka)",5,55,"Southern Asia","Sri Lanka",Northern,Jaffna,"Thenmaradchy (Chavakachcheri)",Chavakachcheri,9.6663,80.1581,1,"News1st (Sri Lanka)",National,"As reported on December 12, a clash occurred between a group of locals and construction workers, after the locals began to destroy temporary construction structures in Chavakachcheri town (Thenmaradchy (Chavakachcheri), Jaffna district). The locals were dissatisfied with the plan to construct a wind power plant in their locality. [size=no report]",0,1576604761,LKA
6666042,144,SRI3920,3920,"12 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Vavuniya,"Vavuniya South",Vavuniya,8.7514,80.4971,1,Virakesari,National,"On December 12, Tamil families of the disappeared staged a protest in front of Vavuniya Road Development Department in Vavuniya city (Vavuniya South, Vavuniya district). The protesters were condemning the visit of the Defense Secretary, and demanding justice for their disappeared family members. [size=no report]",0,1576604762,LKA
6665664,144,SRI3905,3905,"12 December 2019",2019,2,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Buddhist Group (Sri Lanka)",7,57,"Southern Asia","Sri Lanka",Sabaragamuwa,Kegalle,Mawanella,Mawanella,7.2519,80.4453,1,"Hiru News",National,"As reported on December 12, at least 20 people vandalized a Buddha statue in Mawanella city (Mawanella, Kegalle district). Police are conducting further investigations. [size=at least 20]",0,1576604761,LKA
6665706,144,SRI3907,3907,"12 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","IUSF: Inter University Students' Federation; Students (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Central,Kandy,Yatinuwara,Peradeniya,7.2622,80.5841,1,Lankadeepa,National,"On December 12, students belonging to the Inter University Students' Federation (IUSF) staged a protest in front of Galaha Junction in Peradeniya town (Yatinuwara, Kandy district). The students were demanding for the increase of the Mahapola Scholarship for university students to Rs.10,000. [size=no report]",0,1576604761,LKA
6665762,144,SRI3904,3904,"11 December 2019",2019,2,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Labour Group (Sri Lanka)",7,57,"Southern Asia","Sri Lanka",Northern,Jaffna,"Island North (Kayts)",Kayts,9.6574,79.9077,1,"News1st (Sri Lanka)",National,"As reported on December 11, a group of locals assaulted tractor drivers and destroyed a tractor in Kayts village (Island North (Kayts), Jaffna district). The locals were dissatisfied with sand mining operations occurring in their area. [size=no report]",0,1576604761,LKA
6666043,144,SRI3919,3919,"11 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Jaffna,Jaffna,Jaffna,9.6685,80.0074,1,Virakesari,National,"On December 11, Tamil families of the disappeared staged a protest in front of the Regional Office of Missing Persons in Jaffna city (Jaffna, Jaffna district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604762,LKA
6665872,144,SRI3903,3903,"11 December 2019",2019,1,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Journalists (Sri Lanka)",7,57,"Southern Asia","Sri Lanka",Western,Colombo,Colombo,Colombo,6.9319,79.8478,2,"Tamil Guardian",International,"On December 11, a group assaulted a team of journalists in a suburb near Colombo city (Colombo, Colombo district). The journalists were investigating the alleged contamination of water with petrol in the area. At least two persons were arrested in connection with the incident [size=at least two]",0,1576604761,LKA
